,Site,Stand,Plot,Species,TagID,Treatment.x,Age,Subplot.x,previous.tags,DBH2008,DBH2009,DBH2010,DBH2011,DBH2015,DBH2019,DBH2023,X,liveBA11,liveBA15,liveBA19,liveBA23,X.1,BA2011,BA2015,BA2019,BA2023,X.2,chgBA11_15,chgBA15_19,chgBA19_23,X.3,RBAIyr11_15,RBAIyr15_19,RBAIyr19_23,X.4,deadyr,dead2008.2010,dead2011,dead2015,dead2019,dead2023,notes2008.10,notes2011,notes2015,notes2019,notes2023,X.5,ingrowthyear,ingrowth5x5,Ntrt,Ptrt,plotID.x,Age3,RBAI,Order_Processed,Date_Collected,Stand_Age,Growth_Stage,Treatment.y,Ntrt.y,Ptrt.y,Catrt,Tree_Number,Subplot.y,Shots,Canopy_Locations,Field_Notes,Number_of_Leaves,Total_Fresh_Mass,Total_Leaf_Area,Leaf_Area_for_SLA,Oven_Dry_Mass_with_Bag,Oven_Dry_Bag_Weight,Total_Oven_Dry_Mass,Dry_Mass_Per_Leaf,Leaf_Area,SLA_cm2_g,SLA_m2kg,LDMC_g_g,LDMC,Lab_Notes,Caution,Date.Processed,d15N,d13C,N,propC,CN,Ca,Fe,K,Mg,Mn,P.214,P.178,S,Sr,Zn,Stomatal_Density,Extra_Notes,Former_TagID,Species_ID,Age2,ID,treeID,plotID.y,P178ln,Parea,Narea
11,BEF,C1,2,BE,722,N,Mid,B1,,NA,4.4,NA,4.7,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,NA,NA,NA,,,,,,tagged despite size class because it was shot in 2009,small but tagged for repeated foliage sampling.  Leave tag in place,"Foliage sampling tree, do not include in >10 for analysis",not found,,,NA,,1,0,C1_2,Mid,NA,440,8/1/2022,Young,Third,N,1,0,0,2,B1,2,2,small tree. Leaves were intermediate but in sunlit gap,3,3.35,260.4,260.33,NA,NA,1.36,0.45,86.8,191.42,19.14,0.41,405.97,Huge leaves! Small brown spots and holes,,8/4/2022,missing,-30.2418186,29.03410597,0.491404507,16.92507797,6.533667437,0.060811236,8.679407152,1.300424918,1.004122491,0.837208634,0.857675385,1.662675431,0.009588342,0.024017618,NA,Partial Run,,FAGR,Mid,C1_2_N_BE_3_722,C1_2_BE_722,C1_2,-0.15352959,0.044805944,1.516774944
12,BEF,C1,2,BE,734,N,Mid,C2,,NA,3.4,NA,3.6,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,NA,NA,NA,,,,,,tagged despite size class because it was shot in 2009,small but tagged for repeated foliage sampling.  Leave tag in place,"Foliage sampling tree, do not include in >10 for analysis",not found,,,NA,,1,0,C1_2,Mid,NA,441,8/1/2022,Young,Third,N,1,0,0,3,C2,3,2,"aimed for larger, untagged 2nd stem",6,2.92,258.057,258.028,NA,NA,1.34,0.22,43.01,192.56,19.26,0.46,458.9,"brown spots, tiny green spots, minor insect damage",,8/4/2022,0.52,-29.91,24.70937961,0.497681232,20.14138921,3.670434304,0.05321309,8.77487483,1.174658572,0.943854714,1.017427242,1.040766387,1.534920282,0.003700472,0.024247715,NA,,,FAGR,Mid,C1_2_N_BE_6_734,C1_2_BE_734,C1_2,0.039957352,0.05404894,1.283204176
13,BEF,C1,2,PC,1813,N,Mid,C3,,NA,NA,NA,NA,11.3,12.2,13.4,NA,0,100.3,116.9,141,NA,0,100.3,116.9,141,NA,#DIV/0!,0.165635524,0.20639613,NA,NA,0.039060161,0.04802703,NA,NA,,,,,,,,new add; outside,,,,2015,out,1,0,C1_2,Mid,NA,444,8/1/2022,Young,Third,N,1,0,0,3,C3,3,2,,9,5.46,298.577,298.412,NA,NA,2.36,0.26,33.18,126.45,12.64,0.43,432.23,"tiny holes, very large leaves! ONE LEAF FELL ON FLOOR WHILE WEIGHING",,8/4/2022,missing,-25.33641143,38.06263483,0.515324055,13.53884348,3.1112,0.0638,10.2912,1.2856,0.0683,1.4021,1.4339,1.6721,0.0055,0.0189,NA,Partial Run,,PRPE2,Mid,C1_2_N_PC_9_1813,C1_2_PC_1813,C1_2,0.360398005,0.113396599,3.010093699
14,BEF,C1,2,PC,2637,N,Mid,C1,,NA,NA,NA,NA,10.3,11,12.2,NA,0,83.3,95,116.9,NA,0,83.3,95,116.9,NA,#DIV/0!,0.14054105,0.230082645,NA,NA,0.033422065,0.053133851,NA,NA,,,,,,,,new add; outside,was listed as C2 in 2015,,,2015,out,1,0,C1_2,Mid,NA,442,8/1/2022,Young,Third,N,1,0,0,1,C1,2,2,,22,2.01,156.967,156.904,NA,NA,0.79,0.04,7.13,198.61,19.86,0.39,393.03,tiny holes and brown spots,,8/4/2022,-1.65,-25.2,32.18601302,0.50397862,15.65831157,9.243183698,0.064406662,13.91194151,2.312021754,0.265944392,1.364692854,1.39303649,1.71848644,0.023739,0.046917167,NA,,,PRPE2,Mid,C1_2_N_PC_22_2637,C1_2_PC_2637,C1_2,0.33148589,0.070139293,1.620563568
15,BEF,C1,2,PC,2644,N,Mid,C2,,NA,NA,NA,NA,10.2,10.1,10.15,NA,0,81.7,80.1,80.9,NA,0,81.7,80.1,80.9,NA,#DIV/0!,-0.019511726,0.009925498,NA,NA,-0.004914035,0.002472192,NA,NA,,,,,,,,new add; outside,,,,2015,out,1,0,C1_2,Mid,NA,443,8/1/2022,Young,Third,N,1,0,0,2,C2,3,2,,33,6.98,473.332,473.307,NA,NA,2.84,0.09,14.34,166.66,16.67,0.41,406.88,tiny holes and brown spots,,8/4/2022,-1.666248539,-25.62733008,38.99742593,0.510476263,13.09394701,9.391783552,0.072833474,13.52472084,2.241384617,0.129358892,1.63792964,1.682392442,1.811394811,0.018168088,0.023326957,NA,,,PRPE2,Mid,C1_2_N_PC_33_2644,C1_2_PC_2644,C1_2,0.520216853,0.100947584,2.339939153
16,BEF,C1,2,WB,410,N,Mid,C3,,NA,NA,NA,13,16.6,19,21.5,NA,132.7,216.4,283.5,363.1,NA,132.7,216.4,283.5,363.1,NA,0.630532544,0.310059515,0.280470914,NA,0.130010211,0.069849669,0.063756996,NA,NA,,,,,,,,,,,,NA,,1,0,C1_2,Mid,0.099538062,447,8/1/2022,Young,Third,N,1,0,0,3,C3,2,2,,7,5.23,247.898,247.182,NA,NA,2.01,0.29,35.41,122.98,12.3,0.38,384.32,"SMALL HOLESAND BROWN SPOTS, MINOR INSECT DAMAGE",,8/4/2022,-0.82,-27.28,30.37374244,0.499305446,16.43871996,6.654844245,0.056700223,8.52581611,1.746969686,1.358647556,0.949491107,0.991667287,1.693805502,0.016357761,0.151004321,NA,,,BEPA,Mid,C1_2_N_WB_7_410,C1_2_WB_410,C1_2,-0.008367624,0.080636468,2.46981155
17,BEF,C1,2,WB,701,N,Mid,B1,,NA,6.7,NA,7.5,8.8,10,11.2,NA,NA,NA,78.5,98.5,NA,NA,NA,78.5,98.5,NA,,,0.2544,NA,NA,,0.058300524,NA,NA,,,,,,tagged despite size class because it was shot in 2009,small but tagged for repeated foliage sampling.  Leave tag in place,"Foliage sampling tree, do not include in >10 for analysis",,,,NA,,1,0,C1_2,Mid,NA,446,8/1/2022,Young,Third,N,1,0,0,2,B1,2,2,,20,8.01,446.431,446.431,NA,NA,3.22,0.16,22.32,138.64,13.86,0.4,402,"tiny holes and tiny brown spots, minor insect damage along margins",,8/4/2022,missing,-28.68230671,23.7210995,0.50320118,21.21323172,5.473,0.0623,7.9206,1.4831,1.1094,0.439,0.7395,1.2282,0.0122,0.1808,NA,Partial Run,,BEPA,Mid,C1_2_N_WB_20_701,C1_2_WB_701,C1_2,-0.301780997,0.053339585,1.71098525
18,BEF,C1,2,WB,712,N,Mid,C1,,NA,7.1,NA,8.4,10.8,13,14.9,NA,55.4,91.6,132.7,174.4,NA,55.4,91.6,132.7,174.4,NA,0.653061224,0.448902606,0.313668639,NA,NA,0.097134314,0.070585749,NA,NA,,,,,,tagged despite size class because it was shot in 2009,small but tagged for repeated foliage sampling.  Leave tag in place,,,,,NA,,1,0,C1_2,Mid,0.115373045,445,8/1/2022,Young,Third,N,1,0,0,1,C1,2,2,,12,5.85,318.126,318.126,NA,NA,2.29,0.19,26.51,138.92,13.89,0.39,391.45,"tiny holes and brown spots, insect damage on edge",,8/4/2022,-0.797847829,-28.67299882,24.17804172,0.499373888,20.6540254,7.143203227,0.044318414,7.363342612,1.765679943,1.478483114,0.870377323,0.898423963,1.34241388,0.017004632,0.169837809,NA,,,BEPA,Mid,C1_2_N_WB_12_712,C1_2_WB_712,C1_2,-0.107113203,0.064672039,1.740429148
19,BEF,C1,3,BE,1013,Control,Mid,B2,,NA,NA,NA,11,13.6,17,20.8,NA,95,145.3,227,339.8,NA,95,145.3,227,339.8,NA,0.528595041,0.5625,0.497024221,NA,0.111918898,0.118033989,0.106132638,NA,NA,,,,,,,new add; outside,,,,,2011,out,0,0,C1_3,Mid,0.115033156,453,8/1/2022,Young,Third,Control,0,0,0,3,B2,2,2,INSTEAD OF 484 - MORE SUN,8,4.64,456.748,456.748,NA,NA,1.94,0.24,57.09,235.44,23.54,0.42,418.1,"SMALL BROWN SPOTS, SMALL HOLES",,8/4/2022,missing,-29.66912753,26.75712961,0.485393234,18.14070645,7.143897145,0.05405181,10.04370809,1.486590987,1.10560884,1.033490898,1.045443344,1.445806449,0.012519521,0.024040114,NA,Partial Run,,FAGR,Mid,C1_3_Control_BE_8_1013,C1_3_BE_1013,C1_3,0.044441048,0.044403812,1.136473395
20,BEF,C1,3,BE,1053,Control,Mid,B2,482,NA,NA,NA,17.7,21.5,24.7,28.4,NA,246.1,363.1,479.2,633.5,NA,246.1,363.1,479.2,633.5,NA,0.475470012,0.319826933,0.322034454,NA,0.102129423,0.071838238,0.072286142,NA,NA,,,,,,,assumed this is the same as tag 939 (the only tag from 2004),,old tag was 482,checked - severe blisters,,NA,,0,0,C1_3,Mid,0.086865115,451,8/1/2022,Young,Third,Control,0,0,0,1,B2,2,2,,5,4.49,311.063,310.688,NA,NA,1.96,0.39,62.21,158.51,15.85,0.44,436.53,"holes, tiny brown and white spots, insect damage",,8/4/2022,missing,-28.33223952,26.32226893,0.487574669,18.52327663,7.226576372,0.047622718,9.986787521,1.250656387,1.167105305,1.059633239,1.142733476,1.389251139,0.016653701,0.027853714,NA,Partial Run,,FAGR,Mid,C1_3_Control_BE_5_1053,C1_3_BE_1053,C1_3,0.133423178,0.072092201,1.660606203
21,BEF,C1,3,BE,748,Control,Mid,A1,,NA,6.9,NA,7.6,9.1,11.5,13.9,NA,0,0,103.9,151.7,NA,NA,NA,103.9,151.7,NA,,,0.46094518,NA,NA,,0.099406955,NA,NA,,,,,,tagged despite size class because it was shot in 2009,small but tagged for repeated foliage sampling.  Leave tag in place,"Foliage sampling tree, do not include in >10 for analysis",,,,NA,,0,0,C1_3,Mid,NA,452,8/1/2022,Young,Third,Control,0,0,0,2,A1,4,2,,6,5.09,271.406,271.134,NA,NA,2.41,0.4,45.23,112.5,11.25,0.47,473.48,very damaged! Bug spots on leaves and insect damage,Y,8/4/2022,-0.728208426,-27.02163774,25.05439022,0.494149786,19.72308172,5.373087973,0.054838589,8.562406023,1.009758241,1.349284035,1.109231151,1.127856331,1.428150358,0.007736831,0.021649001,NA,,,FAGR,Mid,C1_3_Control_BE_6_748,C1_3_BE_748,C1_3,0.120318779,0.100253896,2.227056908
22,BEF,C1,3,PC,2193,Control,Mid,C2,,NA,NA,NA,NA,10.5,11.4,11.4,NA,0,86.6,102.1,0,NA,0,86.6,102.1,102.1,NA,#DIV/0!,0.17877551,0,NA,NA,0.041976145,0,NA,23,,,,,dead,,,,,not found,,2015,out,0,0,C1_3,Mid,NA,454,8/1/2022,Young,Third,Control,0,0,0,1,C2,2,2,,15,3.85,325.02,324.785,NA,NA,1.26,0.08,21.67,257.77,25.78,0.33,327.27,"chloritic, brown spots, small holes, insect damage",,8/4/2022,-1.615861626,-27.8799489,28.30705584,0.481777457,17.03200464,12.39609798,0.049832324,21.66560806,2.483122996,0.182505634,1.74775414,1.75024496,1.523425689,0.043733221,0.025779674,NA,,,PRPE2,Mid,C1_3_Control_PC_15_2193,C1_3_PC_2193,C1_3,0.559755755,0.067899482,1.098151679
23,BEF,C1,3,PC,480,Control,Mid,A2,,NA,NA,NA,12.8,15,17,18.1,NA,128.7,176.7,227,257.3,NA,128.7,176.7,227,257.3,NA,0.373291016,0.284444444,0.133598616,NA,0.082531755,0.064581295,0.031845862,NA,NA,,,,,,,,,,,,NA,,0,0,C1_3,Mid,0.073509554,456,8/1/2022,Young,Third,Control,0,0,0,3,A2,3,2,,12,2.71,180.388,180.266,NA,NA,1.2,0.1,15.03,150.22,15.02,0.44,442.8,"brown spots, tiny holes, insect  damage",,8/4/2022,-0.12,-25.77,28.6050368,0.514179907,17.97515279,7.583257572,0.053376171,12.04987325,1.498802358,0.095194505,1.741640545,1.760758785,1.535952096,0.023871063,0.024056595,NA,,,PRPE2,Mid,C1_3_Control_PC_12_480,C1_3_PC_480,C1_3,0.565744844,0.117212008,1.904209613
24,BEF,C1,3,WB,481,Control,Mid,A2,,NA,NA,NA,12.9,15.5,17.1,19.1,NA,130.7,188.7,229.7,286.5,NA,130.7,188.7,229.7,286.5,NA,0.443723334,0.21710718,0.247597551,NA,0.096152538,0.050345565,0.056862841,NA,NA,,,,,,,,,,,,NA,,0,0,C1_3,Mid,0.073027064,458,8/1/2022,Young,Third,Control,0,0,0,2,A2,2,2,,9,3.37,191.879,191.879,NA,NA,1.32,0.15,21.32,145.36,14.54,0.39,391.69,"brown spots, tiny holes, insect  damage",,8/4/2022,0.34,-30.22,23.19861132,0.504256493,21.74,6.46244518,0.041709564,9.517106439,1.385538242,0.938458674,1.044166844,1.083611988,1.24417013,0.018111344,0.180009479,NA,,,BEPA,Mid,C1_3_Control_WB_9_481,C1_3_WB_481,C1_3,0.080299894,0.07454678,1.59594189
25,BEF,C1,3,WB,483,Control,Mid,B2,,NA,NA,NA,10.8,12.3,13.9,15.4,NA,91.6,118.8,151.7,186.3,NA,91.6,118.8,151.7,186.3,NA,0.297067901,0.277083746,0.227472698,NA,0.067187373,0.063052821,0.052574781,NA,NA,,,,,,,,,,,,NA,,0,0,C1_3,Mid,0.065089893,457,8/1/2022,Young,Third,Control,0,0,0,1,B2,2,2,,9,3.48,204.615,204.395,NA,NA,1.26,0.14,22.74,162.22,16.22,0.36,362.07,"brown spots, tiny holes",,8/4/2022,-2.35,-29.59,23.3879687,0.480938764,20.56351152,9.586976808,0.050321864,12.75494226,1.735219284,1.991948752,1.132755247,1.141894152,1.428135091,0.02606263,0.301757272,NA,,,BEPA,Mid,C1_3_Control_WB_9_483,C1_3_WB_483,C1_3,0.13268842,0.0703917,1.441743848
26,BEF,C1,3,WB,486,Control,Mid,B1,,NA,NA,NA,10.9,13.9,16.2,18.6,NA,93.3,151.7,206.1,271.7,NA,93.3,151.7,206.1,271.7,NA,0.626209915,0.358314787,0.31824417,NA,0.129260536,0.079568259,0.071516751,NA,NA,,,,,,,,,,,,NA,,0,0,C1_3,Mid,0.104141017,459,8/1/2022,Young,Third,Control,0,0,0,3,B1,2,2,,6,3.62,194.166,193.948,NA,NA,1.46,0.24,32.36,132.84,13.28,0.4,403.31,"brown spots, tiny holes, insect damage on edges",,8/4/2022,missing,-30.08061428,20.42094865,0.493543967,24.16851319,7.037489788,0.042968585,7.51662292,1.528995303,1.805824812,0.951238588,0.960724775,1.192860593,0.017037344,0.231924871,NA,Partial Run,,BEPA,Mid,C1_3_Control_WB_6_486,C1_3_WB_486,C1_3,-0.040067305,0.072321949,1.537259007
27,BEF,C1,3,YB,1007,Control,Mid,B1,,NA,NA,NA,NA,NA,10,11,NA,0,0,78.5,95,NA,0,0,78.5,95,NA,#DIV/0!,#DIV/0!,0.21,NA,NA,,0.048808848,NA,NA,,,,,,,,,new addition,,,2019,out,0,0,C1_3,Mid,NA,460,8/1/2022,Young,Third,Control,0,0,0,1,?,3,2,,8,3.77,198.212,198.07,NA,NA,1.6,0.2,24.78,123.79,12.38,0.42,424.4,"brown spots, larger holes, insect damage, three fuzzy leaves",y,8/4/2022,-1.434028789,-27.79129815,25.4886669,0.485677441,19.0546427,9.218050909,0.047924628,10.18411338,1.619419747,2.352495682,1.337649526,1.333301246,1.345995515,0.023249066,0.174321612,281,,,BEAL2,Mid,C1_3_Control_YB_8_1007,C1_3_YB_1007,C1_3,0.287658007,0.107706701,2.059024711
28,BEF,C1,3,YB,597,Control,Mid,C2,,NA,NA,NA,NA,NA,11.2,12,NA,0,0,98.5,113.1,NA,0,0,98.5,113.1,NA,#DIV/0!,#DIV/0!,0.147959184,NA,NA,,0.035098339,NA,NA,,,,,,,,,new addition,,,2019,out,0,0,C1_3,Mid,NA,461,8/1/2022,Young,Third,Control,0,0,0,2,C2,2,2,,8,4.14,278.762,277.798,NA,NA,1.58,0.2,34.85,175.82,17.58,0.38,381.64,"brown spots, tiny holes, insect  damage on edge, one fuzzy leaf",,8/4/2022,-2.578857977,-29.38022733,22.71337592,0.466064681,20.51939275,11.84225372,0.045394979,12.58680119,2.560628815,2.207737768,1.207125321,1.235742831,1.303807034,0.034210285,0.245117644,244,,,BEAL2,Mid,C1_3_Control_YB_8_597,C1_3_YB_597,C1_3,0.211672272,0.070284543,1.291853937
